line_text,speaker
"Uh, I don't know what you mean.",Michael
I've been meaning to ask her one question. Does the carpet match the drapes?,Todd Packer
"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",Michael
So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,Jan
"No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.",Michael
So what does downsizing actually mean?,Phyllis
Well...,Stanley
You guys better update your resumes just like I'm doing.,Oscar
I bet it's gonna be me. Probably gonna be me.,Angela
"Yeah, it'll be you.",Kevin
I have an important question for you.,Pam
Yes?,Jim
Are you going to Angela's cat party on Sunday?,Pam
"Yeah, stop. That is ridiculous.",Jim
"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",Michael
Hey.,Michael
Hey.,Ryan
This is Mr. Scott.,Pam
Guilty! Guilty as charged!,Michael
Ryan Howard from the temp agency. Daniqua sent me down to start today.,Ryan
"Howard, like Moe Howard. Three Stooges.",Michael
Yup.,Ryan
"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I'm Hitler. Adolf Hitler. [Continues with cod German]",Michael
"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",Pam
Dunder Mifflin. This is Pam.,Pam
"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",Jim
What?,Dwight
What are you doing?,Jim
Just clearing my desk. I can't concentrate.,Dwight
It's not on your desk.,Jim
"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",Dwight
You can't do that.,Dwight
Why not?,Jim
Safety violation. I could fall and pierce an organ.,Dwight
[crosses fingers] We'll see. [Dwight begins smashing pencils with his phone] This is why the whole downsizing thing just doesn't bother me.,Jim
Downsizing?,Dwight
"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",Dwight
You just still have these messages from yesterday.,Pam
"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. [Imitating Six-Million Dollar Man sound effect]",Michael
What?,Pam
"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",Michael
Don't we all?,Pam
I'm sorry?,Michael
Nothing.,Pam
"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]",Michael
"I think I'm a role model here. I think I garner people's respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",Michael
"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",Michael
Now I know there's some rumors out there and I just kind of want to set the record straight.,Michael
I'm Assistant Regional Manager. I should know first.,Dwight
Assistant to the Regional Manager.,Michael
"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",Dwight
I'm about to tell everybody. I'm just about to tell everybody.,Michael
Can't you just tell us.,Oscar
"Please, OK? Do you want me to tell 'em?",Dwight
You don't know what it is. [Laughs],Michael
OK. You tell 'em. With my permission. Permission granted.,Dwight
I don't need your permission.,Michael
Go ahead.,Dwight
Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,Michael
I heard they might be closing this branch down. That's just the rumor going around. This is my first day. I don't really know.,Ryan
"Yeah but Michael, what if they downsize here?",Oscar
Not gonna happen.,Michael
It could be out of your hands Michael.,Stanley
"It won't be out of my hands Stanley, OK. I promise you that.",Michael
Can you promise that?,Stanley
On his mother's grave.,Dwight
No.,Michael
What?,Phyllis
"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",Michael
It's just that we need to know.,Stanley
"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",Michael
I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,Pam
Are you sure about that?,Man
"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",Michael
"Pam, information is power.",Dwight
"You can't say for sure whether it'll be us or them, can you?",Stanley
"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.",Michael
"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.",Jim
"Jim said mixed berries? Well, yeah, he's on to me. Um... [Laughs]",Pam
"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",Michael
What's up? Nice to meet you.,Ryan
Introduce yourself. Be polite.,Michael
"Dwight Schrute, Assistant Regional Manager.",Dwight
"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",Michael
"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand.",Dwight
That's his profit.,Michael
"New engine, new suspension, I got a respray. I've got some photos.",Dwight
Damn it! Jim!,Dwight
"OK. Hold on, hold on. The judge is in session. What is the problem here?",Michael
He put my stuff in Jell-O again.,Dwight
[Laughing],Pam
That's real professional thanks. That's the third time and it wasn't funny the first two times either Jim.,Dwight
"It's OK here, but people sometimes take advantage because it's so relaxed. I'm a volunteer Sheriff's Deputy on the weekends. And you cannot screw around there. That's sort of one of the rules.",Dwight
What is that?,Michael
That is my stapler.,Dwight
"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.",Michael
"OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?",Dwight
How do you know it was me?,Jim
It's always you. Are you going to discipline him or not?,Dwight
"Discipline. Kinky! [Laughs] All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",Michael
Yeah.,Dwight
"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O.",Michael
"OK. Dwight, I'm sorry, because I have always been your biggest flan.",Jim
[Laughing] Nice. That's the way it is around here. It just kind of goes round and round.,Michael
You should've put him in custardy.,Ryan
Hey! Yes! New guy! He scores.,Michael
"OK, that's great. I guess what I'm most concerned with is damage to company property. That's all.",Dwight
Pudding. Pudding... I'm trying to think of another dessert to do.,Michael
Do you like going out at the end of the week for a drink?,Jim
Yeah.,Pam
That's why we're all going out. So we can have an end-of-the-week-drink.,Jim
So when are we going out?,Pam
"Tonight, hopefully.",Jim
OK. Yeah.,Pam
"Hey, man.",Roy
What's going on?,Jim
"Hey, baby.",Roy
Hey.,Pam
Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.,Pam
Do you mind if I go out for a drink with these guys?,Pam
"No, no. Come on. Let's get out of here and go home.",Roy
OK. I'm gonna be a few minutes. So it's only twenty past five. I still have to do my faxes.,Pam
You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,Jim
"It sounds good. Seriously, we've gotta get going.",Roy
"Yeah, yeah.",Jim
Um... What's in the bag?,Jim
Just tell her I'll talk to her later.,Roy
"No, definitely. All right, dude. Awesome. Will do.",Jim
Do I think I'll be invited to the wedding? [scratches head],Jim
"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?",Michael
Yeah.,Ryan
"You are gonna be my accomplice. Just go along with it, OK?",Michael
All right.,Ryan
"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...",Michael
You got a fax.,Pam
"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",Michael
What? Why?,Pam
"Why? Well, theft and stealing.",Michael
Stealing? What am I supposed to have stolen?,Pam
Post-it Notes.,Michael
"Post-it Notes? What are those worth, 50 cents?",Pam
"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know, you've made a profit... margin. You're gonna run us out of business, Pam.",Michael
Are you serious?,Pam
Yeah. I am.,Michael
I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.,Pam
But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.,Michael
"[Pam starts crying] You been X'd punk! [Laughing] Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you.",Michael
You're a jerk.,Pam
I don't know about that.,Michael
"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, 'Mr. Scott, would you be the godfather of my child?' Wow. Wow. Didn't work out in the end. We had to let him go. He sucked.",Michael
Hey.,Pam
Hey.,Jim
How are things?,Jim
Good. I thought you were going out for a drink with...,Pam
"Oh no, I just decided not to. How's your headache?",Jim
"It's better, thanks.",Pam
Good. Good.,Jim
Yeah.,Pam
That's great,Jim
Is...?,Pam
Yeah?,Jim
Um... Are you...,Pam
Am I walking out?,Jim
Yes.,Pam
"Yes, I... Do you want to...",Jim
Yeah.,Pam
Great. Let me just...,Jim
"[Car horn honking] Oh, Roy.",Jim
"Yeah. Listen, have a nice weekend.",Pam
"Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.",Jim
"Dwight Schrute. My father's name, also Dwight Schrute. My grandfather's name, Dweide Schrude, Amish. That's my family. I don't know where they came, the Amish, came from originally. Uh, Amland.",Dwight
[holding up a Dundie and pretending it is talking] Hello. I'm Michael Scott. I'm the best boss in the world.,Michael
"My name is Jim Halpert and I am a sales rep, which is a very important job. Um, without me dozens literally dozens of small businesses would go paperless. They would have to write on their hands, or bed sheets, or who knows you know. Total chaos, total chaos. I mean or they could get their paper somewhere else. Staples maybe. I don't know.",Jim
"Pam! Pam-Pam! Pam has been with us for... forever. Right, Pam?",Michael
I guess.,Pam
"Yeah, at one time or another every guy in the office has sprayed on Pam.",Michael
What?,Pam
Messages?,Michael
"People respond to the human touch and that's what I give them. I can look at a client and I can say, 'Hello, how are you? How's business been going?' And we can go back and forth for sometime and uh, then I'll say, How much, how many reams do you want?' And they'll order it and then I'll take care of all the sales. I'll make sure that they get that paper. And they appreciate that.",Dwight
"Ah, right here. Three Stooges. High five. [Michael and Ryan high five] Oh, Pam. It's a guy thing, Pam. [camera cuts to Pam then back to Michael] Now, who was the one before Curly?",Michael
"Uh, Shemp.",Ryan
Curly? Very good. Curly Joe DeRita.,Michael
Just Curly. Joe DeRita was different.,Ryan
"Well, comedy's kinda my thing. Watch this, here's Curly Joe. Mmm. Me, me, me, me, me, me. Me, me, me, me, me, me. Oh, I forgot. Here we go. [Yelling in cod German] I'm Hitler. Right. [Continues with cod German] Me, me, me, me, me, me. Curly Joe Hitler. [laughs]",Michael
"All these people are walking around and they're happy and their lives are just going along, ignorance is bliss. But if they knew what was lurking on the other side of that fence that furry monster. [imitating monster] 'I'm gonna get you, downsizing.' No. They wouldn't... They'd freak. And I'm not going to play God. They look to me for support. And they look to me for guidance and leadership. And I think if I could lie to them and it serves them, then that's what I'm going to do.",Michael
"So this is our sales staff. They are the ones who are making calls and making us lots of money. [comes to a screeching halt and laughs] This is accounting. The numbers dudes. Do not let the job description fool you, they are all completely crazy. Especially that guy, he is a mental patient. [camera zooms in on Kevin] Not literally of course, that wouldn't work. The last place you'd want somebody like that is accounting. [hides behind office plant] 'Very interesting, but stupid.' Artie Johnson. It's a crazy place.",Michael
"My name is Angela and um, I'm in charge of the accounting department. There are three of us, Kevin and Oscar.",Angela
"It's my job to keep the books in order. And, um, I... I'm, uh, immediately below my supervisor.",Oscar
"Oscar, how do I describe him. He's like a stapler. Do I need a stapler? Yes. But, I'm still the one that has to push it down.",Angela
There's a lot of anxiety. I don't want to get laid off. This place is like five minutes from my house.,Oscar
I don't wanna be laid off. This is a good job for me. 'Cause I need my nights free. I'm in a band.,Kevin
"Not very worried about downsizing right now. Because, uh, I think you've met Kevin and um...",Angela
"Can I just say one thing? Um, my friend is Jewish, Art Geller. And a couple of years ago he, um, showed me how you can plant a tree in Israel, so I planted a tree. So... You know 'cause... Yeah we work in paper. Well, you know, I try to give back.",Oscar
"I have a lot of cat figurines on my desk. I think cats, really, are old souls. And, uh, Phyllis thinks so too.",Angela
"What you don't know... Well, it can hurt you, but if you don't know it won't hurt you. Then, you can just be happy for a little while at least.",Michael
What's that?,Michael
Wired.,Pam
"Oh, John Belushi. What a crazy guy. Phew, freaked myself out this morning.",Michael
"Oh, yeah.",Pam
"Yeah. I thought I found a lump. I checked the, uh... I check the jewels every month. This time... You know, it's a little different. It was fine. It was fine. But freaky, man, you know. Testicular cancer, God. Cancer, whoa testicles. So... What's, um... What you eating?",Michael
Smoked turkey.,Pam
"Oh, place around the corner. Nice. All right. See you later.",Michael
Do I need to speak up? [grabs boom microphone] Hello.,Michael
[boom microphone drops into the camera shoot] Can you move it out? Can you move it? Is that all right? Can you make that work?,Documentary Crew Member
That's fine.,Dwight
"[new take] No, you don't even need ... That's fine. We'll keep it...",Documentary Crew Member
I'm sorry it makes me nervous.,Dwight
"Understood, but it is what we need to capture what you're saying as clearly as possible.",Documentary Crew Member
"I understand. It's in a blind spot because I'm trained in several martial arts and one of them, uh, includes, uh, an awareness that the masters bring, uh, of anything on all sides of you. It could be behind you or whatever. This is directly in a blind spot, so I'm trained to respond negatively to something right above my head. [new take] This now I have an eye on. You see, it's on my periphery and if I needed to block it, attack it, stop it somehow. [does a martial arts move with his hands] I could come right out. I mean, I know you're doing your job, but... Documentary Crew Member: [talking over Dwight] It's...",Dwight
I'm doing my job.,Dwight
"I think better to be a happy idiot then a, um... Then someone who knows the truth.",Michael
"Hey, uh, can I help you out in here?",Michael
"Oh, I'm all set, thanks.",Mr. Brown
Gotcha. Good. I'd go with the rows. That's a good idea.,Michael
"Today is diversity day and someone's going to come in and talk to us about diversity. It's something that I've been pushing, that I've been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it's very important that we have this. I'm very, very excited.",Michael
"That's the thing. It's very sturdy paper and on the back it says, '100% post-consumer content.' What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you. [Shedder whirring] Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second.",Jim
Do you really have to do that right now?,Jim
Yes I do. I should have done it weeks ago actually.,Dwight
"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks. [Power off, silence] Hello? That's it. Perfect. So what I was saying... [Dialing tone] Hello? Thanks, Dwight.",Jim
Retaliation. Tit for tit.,Dwight
That is not the expression.,Jim
"Well, it should be.",Dwight
"This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?",Jim
Solitaire?,Jim
"Yeah, Freecell.",Pam
Six on seven.,Jim
I know. I saw that.,Pam
"So then, why didn't you do it?",Jim
I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.,Pam
Who doesn't love that?,Jim
"Hey, Oscar! How are you doing, man?",Michael
All right.,Oscar
Did you have a good weekend going there?,Michael
It was fine.,Oscar
"Oh yeah, I bet it was fun. [to Mr. Brown] Oh, hey! This is Oscar---",Michael
Martinez.,Oscar
"Right. See? I don't even know, first-name basis!",Michael
Great. We're all set.,Mr. Brown
"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?",Michael
"Yeah, uh, Mr. Decker, please.",Jim
"It's diversity day, Jim. I wish every day was diversity day.",Michael
You know what? I'm actually going to have to call you back. Thank you. Sorry about that.,Jim
Thank you. Thank you. Thank you. Great.,Mr. Brown
"Come on people, let's get 'em in. Get in the cards! Get in the cards!",Michael
"Thank you. Thank you very much. OK. Thanks for filling these out and I promise this'll be quick. At Diversity Today, our philosophy is about honesty and positive expectations. We believe that 99% of the problems in the workplace arise simply out of ignorance.",Mr. Brown
"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race.",Michael
"Uh, see this is what I'm talking about. We don't have to pretend we're color-blind.",Mr. Brown
"Exactly, were not...",Michael
That's fighting ignorance with more ignorance.,Mr. Brown
With tolerance.,Michael
No. With more ignorance.,Mr. Brown
Ignorance.,Michael
"Right. Exactly. Uh, instead, we need to celebrate our diversity.",Mr. Brown
Let's celebrate.,Michael
Right. OK.,Mr. Brown
Celebrate good times. Come on! Let's celebrate diversity. Right?,Michael
"Yes, exactly. Now here's what we're going to do. I've noticed that...",Mr. Brown
You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.,Michael
I have two. White and Indian.,Dwight
"Actually, I'd prefer not to start that way. Michael, I would love to have your permission to run this session. Can I have your permission?",Mr. Brown
Yes.,Michael
Thank you very much. And it would also help me if you were seated.,Mr. Brown
OK.,Michael
"Thank you. OK. Now, at the start of the session, I had you all write down an incident that you found offensive in the workplace. Now, what I'm going to do is choose one and we're going to act it out.",Mr. Brown
A few of the ground rules?,Dwight
"Hey, hey why don't you run it by me and I'll run it by him.",Michael
"OK, can we steer away from gay people?",Dwight
Um...,Mr. Brown
"I'm sorry. It's an orientation. It's not a race. Plus a lot of other races are intolerant of gays, so...paradox.",Dwight
"Well, we only have an hour.",Mr. Brown
I figured it would save time.,Dwight
OK. Why don't we just defer to Mr...,Michael
Mr. Brown.,Mr. Brown
"Ah. Oh, right! OK. First test. I will not call you that.",Michael
"Well, it's my name. It's not a test. OK? Um, so looking through the cards, I've noticed that many of you wrote down the same incident, which is ironic, because it's the exact incident I was brought in here to respond to. Now, how many of you are familiar with the Chris Rock routine? Very good. OK.",Mr. Brown
"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?",Michael
So we're going to reenact this with a more positive outcome.,Mr. Brown
I will play the Chris Rock guy. I would like to see someone else pull this off.,Michael
"Well, let's have someone who wasn't involved in the reenactment.",Mr. Brown
"OK, I will play guy listening.",Michael
"Great. Guy listening. Ok, anyone else remember?",Mr. Brown
I remember.,Kevin
Great. You're the Chris Rock guy and you're guy listening.,Mr. Brown
OK.,Michael
Kevin is a great guy. He's a great accountant. He is not much of an entertainer.,Michael
"Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess.",Kevin
"OK. I'm sorry. I'm sorry. He's ruin... He's butchering it. Could you just let me... [As Chris Rock] Every time... Every time black people want to have a good time, some ignant ass... [Bleep] I take care of my kid!",Michael
Wait a second.,Mr. Brown
[Bleep] They always want credit for something they supPOSED to do!,Michael
Stop it!,Mr. Brown
[As Chris Rock] What you want a cookie?,Michael
"Now, this is a simple acronym. HERO. Uh, at Diversity Today, we believe it is very easy to be a HERO. All you need are honesty, empathy, respect and open-mindedness.",Mr. Brown
"Excuse me, I'm sorry, but that's not all it takes to be a hero.",Dwight
"Oh, great. Well, what is a hero to you?",Mr. Brown
"A hero kills people, people that wish him harm.",Dwight
OK.,Mr. Brown
"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.",Dwight
"Ok, you're thinking of a superhero.",Mr. Brown
We all have a hero in our heart.,Dwight
"Now, I need you to take these forms. This kind of expresses the joint experience we had today. And I need you to look 'em over and sign them as kind of a group pledge.",Mr. Brown
[Clears throat] I don't think I can sign this.,Michael
I can't leave until you do.,Mr. Brown
"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?",Michael
"Michael, can I talk to you candidly?",Mr. Brown
Sure.,Michael
We both know that I'm here because of the comments you made.,Mr. Brown
"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit.",Michael
"Um, it's not throwing me. I need your signature.",Mr. Brown
"OK, well I know. You told me that several times.",Michael
"Yes, but you're not listening to me. Yours is the only signature I need.",Mr. Brown
OK.,Michael
Those are my instructions from the Corporate offices to put you through this seminar for the comments that you made. The reason I made copies for everyone was so you wouldn't be embarrassed.,Mr. Brown
"Well, here I am thinking that you actually cared about diversity training. And you don't.",Michael
Don't worry about dating.,Mr. Brown
I won't.,Michael
OK. Thank you.,Mr. Brown
"Yeah, yeah.",Michael
"I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness...' Open-mindedness, is that even a word? '...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.' [Laughing] He's going to lose it when he reads that.",Michael
"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.",Jim
"I pledge to always keep an open mind and an open heart.' I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, 'Mr. Brown,' he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears.",Michael
All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.,Michael
"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]",Toby
Get out.,Michael
I'm sorry.,Toby
"No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let's go. Let's do it. Come on. Let's have some fun, everybody. Here we go. Take a seat. Cop a squat. And um... thanks for coming in. Um... Diversity... is the cornerstone of progress as I've always said. But don't take my word for it. Let's take a look at the tape.",Michael
"[on the tape] Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, 'If you're a racist, I will attack you with the North.' And those are the principles that I carry with me in the workplace.",Michael
OK. Questions? Comments? Anybody? Jim?,Michael
": Uh, is that it?",Jim
Yes. I only had an hour to put it together but I'm going to add on to it later on.,Michael
It was kind of hard to hear.,Kevin
"Uh, yes. That probably had something to do with the camera work. Anybody else? Um...",Michael
I have a customer meeting.,Kelly
"Yeah, well, if you leave we'll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let's get down to business and why don't I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian.",Michael
What part Native American?,Oscar
Two fifteenths.,Michael
"Two fifteenths, that fraction doesn't make any sense.",Oscar
"Well, you know what, it's kind of hard for me to talk about it. Their suffering. So who else? Let's get this popping. Come on. Who's going? Who's going? Let's go here. Oscar, right here. You're on.",Michael
"OK, Michael, um... Both my parents were born in Mexico.",Oscar
"Oh, yeah...",Michael
"And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States.",Oscar
Wow.,Michael
My parents were Mexican.,Oscar
"Wow. That is... That is a great story. That's the American Dream right there, right?",Michael
Thank... Yeah...,Oscar
